rank,app_id,game_name,peak_players,time,current_datetime
1,578080,PUBG: BATTLEGROUNDS,3236027,2018-01,2026-04-12 13:24:44+08:00
2,2358720,Black Myth: Wukong,2406967,2024-08,2026-04-12 13:24:44+08:00
3,1623730,Palworld,2101535,2024-01,2026-04-12 13:24:44+08:00
4,730,Counter-Strike 2,1818368,2025-03,2026-04-12 13:24:44+08:00
5,1599340,Lost Ark,1324761,2022-02,2026-04-12 13:24:44+08:00
6,570,Dota 2,1291328,2016-03,2026-04-12 13:24:44+08:00
7,2246340,Monster Hunter Wilds,1179869,2025-03,2026-04-12 13:24:44+08:00
8,1245620,ELDEN RING,952523,2022-03,2026-04-12 13:24:44+08:00
9,1063730,New World: Aeternum,913027,2021-10,2026-04-12 13:24:44+08:00
10,2923300,Banana,890713,2024-06,2026-04-12 13:24:44+08:00
